Parent Link,Parent Title,Child Link,Child Title
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/French_Open',b'French Open'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Grand_Slam_(tennis)',b'Grand Slam (tennis)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tennis',b'Tennis'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Stade_Roland_Garros',b'Stade Roland Garros'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1900_Summer_Olympics',b'1900 Summer Olympics'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1924_Summer_Olympics',b'1924 Summer Olympics'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/2024_Summer_Olympics',b'2024 Summer Olympics'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1938_FIFA_World_Cup',b'1938 FIFA World Cup'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/2007_Rugby_World_Cup',b'2007 Rugby World Cup'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1960_European_Nations%27_Cup',"b""1960 European Nations' Cup"""

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/UEFA_Euro_1984',b'UEFA Euro 1984'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/UEFA_Euro_2016',b'UEFA Euro 2016'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/UEFA_European_Championship',b'UEFA European Championship'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tour_de_France',b'Tour de France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Road_bicycle_racing',b'Road bicycle racing'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Avenue_des_Champs-%C3%89lys%C3%A9es',b'Avenue des Champs-\xc3\x89lys\xc3\xa9es'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Oppidum',b'Oppidum'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Julius_Caesar',b'Julius Caesar'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Lutetia',b'Lutetia'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Parisii_(France)',b'Parisii (France)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Celtic_languages',b'Celtic languages'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gaulish',b'Gaulish'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gauls',b'Gauls'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/La_T%C3%A8ne_culture',b'La T\xc3\xa8ne culture'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Roman_period',b'Roman period'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Ethnonym',b'Ethnonym'

